date,signal,code,name,market,close_krw,change_pct,value_krw,metric,flags
2026-09-23,value-surge,393210,토마토시스템,KOSDAQ,3715,12.07,60700410311,×73.6,
2026-09-23,value-surge,419050,삼기에너지솔루션즈,KOSDAQ,1884,17.53,70194600212,×40.9,
2026-09-23,value-surge,109670,씨싸이트,KOSDAQ,11400,29.99,9423872575,×22.7,
2026-09-23,value-surge,042000,카페24,KOSDAQ,17800,18.67,16755115650,×22.2,
2026-09-23,value-surge,299170,더블유에스아이,KOSDAQ,1364,-11.72,9145459416,×21.9,
2026-09-23,value-surge,478340,나라스페이스테크놀로지,KOSDAQ,14050,7.83,145667375640,×21.8,
2026-09-23,value-surge,0010F0,보원케미칼,KOSDAQ,2550,11.6,6993269826,×20.7,
2026-09-23,value-surge,303810,동국생명과학,KOSDAQ,2760,-9.06,40239591092,×19.1,
2026-09-23,value-surge,394800,쓰리빌리언,KOSDAQ,5520,17.32,21608822940,×18.4,
2026-09-23,value-surge,264450,유비쿼스,KOSDAQ,11410,7.14,5715481620,×16.2,
2026-09-23,value-surge,209640,와이제이링크,KOSDAQ,3895,5.27,29671934288,×14.4,
2026-09-23,value-surge,044450,KSS해운,KOSPI,11730,16.6,10471908500,×14.3,
2026-09-23,value-surge,079370,제우스,KOSDAQ,12870,15.43,27640500285,×14.3,
2026-09-23,value-surge,012030,DB,KOSPI,1698,0.12,11740463354,×12.2,
2026-09-23,value-surge,486990,노타,KOSDAQ,20400,-9.53,49228972350,×11.9,
2026-09-23,value-surge,396300,HT로보틱스,KOSDAQ,6010,29.95,71363086667,×9.6,
2026-09-23,value-surge,117730,티로보틱스,KOSDAQ,14200,8.07,8324228325,×9.4,
2026-09-23,value-surge,122350,삼기,KOSDAQ,1624,1.37,15320031828,×9.3,
2026-09-23,value-surge,340450,지씨지놈,KOSDAQ,8080,10.84,9428923255,×8.7,
2026-09-23,value-surge,026910,광진실업,KOSDAQ,2590,-13.23,4016705344,×8.5,
2026-09-23,value-surge,068930,디지털대성,KOSDAQ,9650,0.84,3344629655,×7.7,
2026-09-23,value-surge,159010,아스플로,KOSDAQ,29400,21.24,27126742900,×7.7,
2026-09-23,value-surge,380550,뉴로핏,KOSDAQ,7800,5.83,6307088800,×7.7,
2026-09-23,value-surge,416180,신성에스티,KOSDAQ,24800,1.22,2899491150,×7.2,
2026-09-23,value-surge,009190,대양금속,KOSPI,963,-14.85,3426398720,×6.7,
2026-09-23,value-surge,446540,메가터치,KOSDAQ,10890,15.36,38921530020,×6.4,
2026-09-23,value-surge,017890,한국알콜,KOSDAQ,15420,7.08,3784050130,×6.4,
2026-09-23,value-surge,468530,프로티나,KOSDAQ,46900,17.4,19745659275,×6.3,
2026-09-23,value-surge,253590,네오셈,KOSDAQ,13640,3.33,39157988275,×6.3,
2026-09-23,value-surge,009580,무림P&P,KOSPI,1792,-1.27,10101927701,×6.0,
2026-09-23,value-surge,274090,켄코아에어로스페이스,KOSDAQ,12940,3.77,48925649540,×5.8,
2026-09-23,value-surge,071280,로체시스템즈,KOSDAQ,7950,9.05,4577458625,×5.4,
2026-09-23,value-surge,115440,우리넷,KOSDAQ,12120,29.9,79614736675,×5.4,
2026-09-23,value-surge,299660,셀리드,KOSDAQ,2605,-9.71,23978768091,×5.3,
2026-09-23,value-surge,072950,빛샘전자,KOSDAQ,14030,7.92,176368464865,×5.2,
2026-09-23,value-surge,012200,계양전기,KOSPI,3300,-13.61,10065371491,×5.2,
2026-09-23,value-surge,356680,엑스게이트,KOSDAQ,18320,10.76,337423854550,×5.1,
2026-09-23,value-surge,092870,엑시콘,KOSDAQ,43300,13.95,49798031725,×5.0,
2026-09-23,value-surge,270520,앱튼,KOSDAQ,2020,-16.36,3400429174,×4.8,
2026-09-23,value-surge,255220,SG,KOSDAQ,1210,7.56,11161191835,×4.7,
2026-09-23,value-surge,036710,심텍홀딩스,KOSDAQ,4425,6.37,4525650119,×4.6,
2026-09-23,value-surge,077500,유니퀘스트,KOSPI,9150,7.14,7224549385,×4.5,
2026-09-23,value-surge,005290,동진쎄미켐,KOSDAQ,46850,9.08,44916292225,×4.5,
2026-09-23,value-surge,001340,PKC,KOSPI,5130,5.99,1446171873,×4.4,
2026-09-23,value-surge,321370,센서뷰,KOSDAQ,1794,3.88,49683089804,×4.2,
2026-09-23,value-surge,0088M0,메쥬,KOSDAQ,13870,6.45,3462135910,×4.2,
2026-09-23,value-surge,387690,레메디,KOSDAQ,18390,18.49,143559536160,×4.2,
2026-09-23,value-surge,314130,지놈앤컴퍼니,KOSDAQ,4765,12.65,6398033324,×4.0,
2026-09-23,value-surge,080580,오킨스전자,KOSDAQ,25050,8.91,26204884500,×3.9,
2026-09-23,value-surge,338220,뷰노,KOSDAQ,5610,8.93,2227640355,×3.7,
2026-09-23,value-surge,229640,LS에코에너지,KOSPI,64000,7.56,40717518950,×3.7,
2026-09-23,value-surge,103590,일진전기,KOSPI,81800,6.93,80921351650,×3.7,
2026-09-23,value-surge,083310,엘오티베큠,KOSDAQ,11210,5.46,1935091980,×3.7,
2026-09-23,value-surge,254490,미래반도체,KOSDAQ,16790,3.83,3147527255,×3.6,
2026-09-23,value-surge,240810,원익IPS,KOSDAQ,132400,1.61,353053961450,×3.6,
2026-09-23,value-surge,163730,핑거,KOSDAQ,12520,5.12,4473773380,×3.6,
2026-09-23,value-surge,056360,코위버,KOSDAQ,6380,9.43,2599574275,×3.5,
2026-09-23,value-surge,440110,파두,KOSDAQ,81400,12.59,103099823600,×3.5,
2026-09-23,value-surge,377480,마음AI,KOSDAQ,10250,-0.68,1593901510,×3.5,
2026-09-23,value-surge,010955,S-Oil우,KOSPI,83600,5.69,6272935100,×3.5,
2026-09-23,value-surge,389650,넥스트바이오메디컬,KOSDAQ,32600,15.19,2376901000,×3.5,
2026-09-23,value-surge,129920,대성하이텍,KOSDAQ,6430,14.01,1974926655,×3.4,
2026-09-23,value-surge,323350,다원넥스뷰,KOSDAQ,10200,7.48,1067364595,×3.4,
2026-09-23,value-surge,173130,오파스넷,KOSDAQ,7520,4.88,1601985700,×3.3,
2026-09-23,value-surge,215200,메가스터디교육,KOSDAQ,36200,0.0,3532501500,×3.3,
2026-09-23,value-surge,091440,한울소재과학,KOSDAQ,3090,4.57,1697414920,×3.1,
2026-09-23,value-surge,158430,아톤,KOSDAQ,5550,3.16,30126684730,×3.1,
2026-09-23,value-surge,071320,지역난방공사,KOSPI,78300,0.51,2388399200,×3.0,
2026-09-23,value-surge,092220,KEC,KOSPI,3185,6.34,4825596332,×3.0,
2026-09-23,value-surge,065680,우주일렉트로,KOSDAQ,27300,6.02,1535702950,×2.9,
2026-09-23,value-surge,085670,뉴프렉스,KOSDAQ,3120,0.97,953582056,×2.9,
2026-09-23,value-surge,232830,아이티센피엔에스,KOSDAQ,2930,5.97,8760098676,×2.8,
2026-09-23,value-surge,114810,한솔아이원스,KOSDAQ,14630,8.13,6917295740,×2.8,
2026-09-23,value-surge,030530,원익홀딩스,KOSDAQ,28000,5.66,192893126575,×2.8,
2026-09-23,value-surge,295310,에이치브이엠,KOSDAQ,64100,10.14,19167763150,×2.8,
2026-09-23,value-surge,187870,디바이스,KOSDAQ,12000,7.05,1930031885,×2.8,
2026-09-23,value-surge,024900,디와이덕양,KOSPI,2170,2.84,1184070323,×2.8,
2026-09-23,value-surge,357780,솔브레인,KOSDAQ,368000,9.2,21147802750,×2.8,
2026-09-23,value-surge,093520,매커스,KOSDAQ,29050,2.47,1042085550,×2.7,
2026-09-23,value-surge,053610,프로텍,KOSDAQ,76100,3.96,4062226100,×2.6,
2026-09-23,value-surge,131760,파인텍,KOSDAQ,1302,7.34,799257102,×2.6,
2026-09-23,value-surge,493280,아이엠바이오로직스,KOSDAQ,17520,10.05,5435943045,×2.5,
2026-09-23,value-surge,054920,한컴위드,KOSDAQ,4770,0.53,24522489468,×2.5,
2026-09-23,value-surge,058470,리노공업,KOSDAQ,74600,-0.53,110177330800,×2.5,
2026-09-23,value-surge,439580,블루엠텍,KOSDAQ,2710,-13.14,5070323720,×2.5,
2026-09-23,value-surge,417840,저스템,KOSDAQ,17230,8.5,33170428755,×2.5,
2026-09-23,value-surge,046970,우리로,KOSDAQ,7890,3.68,95135681205,×2.5,
2026-09-23,value-surge,456010,아이씨티케이,KOSDAQ,22900,2.92,35347643925,×2.4,
2026-09-23,value-surge,201490,미투온,KOSDAQ,3675,-1.34,71386181320,×2.4,
2026-09-23,value-surge,451760,컨텍,KOSDAQ,8460,3.8,1542075110,×2.4,
2026-09-23,value-surge,093370,후성,KOSPI,13940,2.5,107366380545,×2.4,
2026-09-23,value-surge,006120,SK디스커버리,KOSPI,60700,5.57,3048621800,×2.4,
2026-09-23,value-surge,104830,원익머트리얼즈,KOSDAQ,36900,7.74,3309385225,×2.4,
2026-09-23,value-surge,011930,신성이엔지,KOSPI,17060,3.02,4717931625,×2.3,
2026-09-23,value-surge,053800,안랩,KOSDAQ,73600,3.95,9493761250,×2.3,
2026-09-23,value-surge,203650,드림시큐리티,KOSDAQ,2830,5.2,46055512140,×2.3,
2026-09-23,value-surge,098120,마이크로컨텍솔,KOSDAQ,58700,3.16,15588447250,×2.3,
2026-09-23,value-surge,354320,알멕,KOSDAQ,42700,14.02,11503556250,×2.3,
2026-09-23,value-surge,484120,도우인시스,KOSDAQ,23850,5.07,2876085225,×2.3,
2026-09-23,value-surge,090710,휴림로봇,KOSDAQ,6250,-2.34,14841235740,×2.3,
2026-09-23,high-52w,003490,대한항공,KOSPI,31500,0.32,130982068100,+0.3%,
2026-09-23,high-52w,092870,엑시콘,KOSDAQ,43300,13.95,49798031725,+3.8%,
