date,signal,code,name,market,close_krw,change_pct,value_krw,metric,flags
2026-09-21,value-surge,240550,동방메디컬,KOSDAQ,6380,9.43,47677306010,×89.1,
2026-09-21,value-surge,425040,티이엠씨,KOSDAQ,12710,23.88,95284726475,×65.7,
2026-09-21,value-surge,001520,동양,KOSPI,1208,-10.72,13847921674,×30.8,
2026-09-21,value-surge,475830,오름테라퓨틱,KOSDAQ,26850,-28.21,122897239900,×21.3,
2026-09-21,value-surge,402490,그린리소스,KOSDAQ,7570,9.87,7026033360,×15.4,
2026-09-21,value-surge,437730,삼현,KOSDAQ,55800,11.38,178097146175,×13.4,
2026-09-21,value-surge,382150,온코크로스,KOSDAQ,3585,7.01,4223548320,×10.6,
2026-09-21,value-surge,348080,큐라티스,KOSDAQ,4330,-4.63,8493785666,×10.6,
2026-09-21,value-surge,254490,미래반도체,KOSDAQ,16230,5.05,5379634070,×9.6,
2026-09-21,value-surge,036540,SFA반도체,KOSDAQ,10550,16.96,280374441220,×9.1,
2026-09-21,value-surge,047920,HLB제약,KOSDAQ,7650,23.19,13240099855,×8.9,
2026-09-21,value-surge,226590,엠디바이스,KOSDAQ,14700,7.06,4943704680,×8.7,
2026-09-21,value-surge,067630,HLB생명과학,KOSDAQ,2675,11.23,3070761584,×8.1,
2026-09-21,value-surge,205100,엑셈,KOSDAQ,1420,10.68,4891331593,×8.1,
2026-09-21,value-surge,071090,하이스틸,KOSPI,3270,1.24,15155499860,×7.8,
2026-09-21,value-surge,094360,칩스앤미디어,KOSDAQ,11970,9.92,4053756555,×7.8,
2026-09-21,value-surge,340810,시선AI,KOSDAQ,4480,7.95,6738240811,×7.7,
2026-09-21,value-surge,389470,인벤티지랩,KOSDAQ,25700,0.98,9831712875,×6.8,
2026-09-21,value-surge,493280,아이엠바이오로직스,KOSDAQ,13900,-11.52,9531645525,×6.8,
2026-09-21,value-surge,0007J0,인벤테라,KOSDAQ,11610,14.38,11259846570,×6.1,
2026-09-21,value-surge,007610,선도전기,KOSPI,4720,-4.55,16517545503,×5.9,
2026-09-21,value-surge,208640,썸에이지,KOSDAQ,974,17.63,1960977169,×5.9,
