date,signal,code,name,market,close_krw,change_pct,value_krw,metric,flags
2026-09-18,value-surge,007610,선도전기,KOSPI,4945,29.96,39109768182,×46.7,
2026-09-18,value-surge,012200,계양전기,KOSPI,3935,9.0,23643564506,×40.0,
2026-09-18,value-surge,048430,유라테크,KOSDAQ,6560,7.36,12363384100,×31.4,
2026-09-18,value-surge,00104K,CJ4우(전환),KOSPI,125100,-3.47,7041038950,×13.5,
2026-09-18,value-surge,011760,현대코퍼레이션,KOSPI,26500,-0.93,5720246700,×12.8,
2026-09-18,value-surge,005690,파미셀,KOSPI,12650,9.24,131641908965,×12.7,
2026-09-18,value-surge,043260,성호전자,KOSDAQ,26900,24.54,495343030425,×12.0,
2026-09-18,value-surge,042370,비츠로테크,KOSDAQ,11410,-0.26,69502519135,×11.9,
2026-09-18,value-surge,0004V0,엔비알모션,KOSDAQ,6500,13.04,8928223745,×11.4,
2026-09-18,value-surge,020000,한섬,KOSPI,17570,10.57,11098460260,×8.9,
2026-09-18,value-surge,033270,유나이티드제약,KOSPI,17930,0.17,3840547505,×8.8,
2026-09-18,value-surge,009155,삼성전기우,KOSPI,510000,5.92,90638867000,×8.2,
2026-09-18,value-surge,051630,진양화학,KOSPI,1649,-7.1,6992767800,×8.2,
2026-09-18,value-surge,034310,NICE,KOSPI,12020,-0.33,3225977330,×7.4,
2026-09-18,value-surge,017510,세명전기,KOSDAQ,8080,4.94,6322764990,×7.2,
2026-09-18,value-surge,000500,가온전선,KOSPI,328000,25.91,426213494250,×7.0,
2026-09-18,value-surge,060370,LS마린솔루션,KOSDAQ,33850,5.95,16541245000,×6.6,
2026-09-18,value-surge,001440,대한전선,KOSPI,31450,11.13,246268898100,×6.1,
2026-09-18,value-surge,006345,대원전선우,KOSPI,10340,6.6,2395938050,×5.9,
2026-09-18,value-surge,003520,영진약품,KOSPI,1041,0.1,1951937511,×5.7,
2026-09-18,value-surge,046970,우리로,KOSDAQ,8100,15.38,162316285380,×5.7,
2026-09-18,value-surge,024840,KBI메탈,KOSDAQ,6490,10.37,97209330535,×5.7,
2026-09-18,value-surge,039840,디오,KOSDAQ,9890,-1.1,1872042250,×5.6,
2026-09-18,value-surge,006340,대원전선,KOSPI,13930,8.32,159732815735,×5.6,
