date,signal,code,name,market,close_krw,change_pct,value_krw,metric,flags
2026-09-15,value-surge,053300,한국정보인증,KOSDAQ,5440,6.25,33728157525,×66.6,
2026-09-15,value-surge,158430,아톤,KOSDAQ,6310,29.84,67240476095,×48.8,
2026-09-15,value-surge,062970,한국첨단소재,KOSDAQ,3360,29.98,133975362625,×39.3,
2026-09-15,value-surge,054920,한컴위드,KOSDAQ,5230,29.78,49025184539,×38.4,
2026-09-15,value-surge,020710,시공테크,KOSDAQ,3830,-0.39,11656269668,×32.6,
2026-09-15,value-surge,052220,iMBC,KOSDAQ,1875,7.63,11284792015,×31.6,
2026-09-15,value-surge,391710,코닉오토메이션,KOSDAQ,1467,21.84,10617204115,×31.4,
2026-09-15,value-surge,071200,인피니트헬스케어,KOSDAQ,12830,13.44,28771768260,×31.1,
2026-09-15,value-surge,0015S0,페스카로,KOSDAQ,9010,14.78,11193755035,×24.2,
2026-09-15,value-surge,042510,라온시큐어,KOSDAQ,12890,14.07,145141530975,×23.5,
2026-09-15,value-surge,289930,웨이비스,KOSDAQ,7450,7.35,7319591785,×22.9,
2026-09-15,value-surge,150900,파수AI,KOSDAQ,4295,0.7,9013167809,×18.2,
2026-09-15,value-surge,017900,광전자,KOSPI,10770,4.87,361846097620,×11.0,
2026-09-15,value-surge,160190,하이젠알앤엠,KOSDAQ,25050,24.94,45623937850,×10.6,
2026-09-15,value-surge,092220,KEC,KOSPI,2760,7.81,5733965269,×10.3,
2026-09-15,value-surge,000670,영풍,KOSPI,49900,-0.1,26207354450,×10.2,
2026-09-15,value-surge,017180,명문제약,KOSPI,1340,8.33,3241080309,×9.7,
2026-09-15,value-surge,389020,자람테크놀로지,KOSDAQ,16310,-23.61,7079537635,×9.3,
2026-09-15,value-surge,014950,삼익제약,KOSDAQ,11630,25.46,222556057400,×8.6,
2026-09-15,value-surge,411080,샌즈랩,KOSDAQ,6920,0.29,46905159630,×8.6,
2026-09-15,value-surge,036540,SFA반도체,KOSDAQ,8610,14.34,146441190125,×8.2,
2026-09-15,value-surge,192250,케이사인,KOSDAQ,8280,3.5,2750321635,×8.0,
2026-09-15,value-surge,475580,에이럭스,KOSDAQ,7750,10.4,15268749510,×7.9,
2026-09-15,value-surge,010580,에스엠벡셀,KOSPI,2790,18.72,53435213749,×7.4,
2026-09-15,value-surge,437730,삼현,KOSDAQ,52700,29.8,54738054075,×7.4,
2026-09-15,value-surge,293580,나우IB,KOSDAQ,1194,10.05,2908358890,×6.7,
2026-09-15,value-surge,203650,드림시큐리티,KOSDAQ,2770,-0.89,89411335396,×6.6,
2026-09-15,value-surge,417200,LS머트리얼즈,KOSDAQ,12230,8.9,27605464035,×6.2,
2026-09-15,value-surge,456160,지투지바이오,KOSDAQ,34300,8.54,30036801300,×6.0,
2026-09-15,value-surge,356680,엑스게이트,KOSDAQ,17370,0.99,200488423340,×5.8,
2026-09-15,value-surge,040300,YTN,KOSDAQ,2635,29.8,2523737000,×5.7,
2026-09-15,value-surge,474650,링크솔루션,KOSDAQ,28450,12.23,4520561650,×5.7,
2026-09-15,value-surge,056190,SFA,KOSDAQ,28600,14.63,13835728525,×5.6,
2026-09-15,value-surge,456010,아이씨티케이,KOSDAQ,18320,0.66,34720996250,×5.4,
2026-09-15,value-surge,115440,우리넷,KOSDAQ,8740,-1.69,27189482670,×5.3,
