date,signal,code,name,market,close_krw,change_pct,value_krw,metric,flags
2026-09-17,value-surge,042370,비츠로테크,KOSDAQ,11440,30.0,95501679490,×88.6,
2026-09-17,value-surge,317850,대모,KOSDAQ,6230,5.41,27127783135,×64.6,
2026-09-17,value-surge,051160,지어소프트,KOSDAQ,11980,20.77,40712566300,×53.2,
2026-09-17,value-surge,478340,나라스페이스테크놀로지,KOSDAQ,13850,29.92,18862243480,×48.1,
2026-09-17,value-surge,274090,켄코아에어로스페이스,KOSDAQ,11530,13.26,30001824780,×42.1,
2026-09-17,value-surge,201490,미투온,KOSDAQ,4635,20.7,319036011489,×32.7,
2026-09-17,value-surge,0007J0,인벤테라,KOSDAQ,10850,3.33,20565036385,×28.4,
2026-09-17,value-surge,088800,에이스테크,KOSDAQ,2225,-9.18,7634449337,×24.1,
2026-09-17,value-surge,078350,한양디지텍,KOSDAQ,22350,25.49,43098717370,×21.1,
2026-09-17,value-surge,488900,비츠로넥스텍,KOSDAQ,11920,11.72,10092152370,×18.4,
2026-09-17,value-surge,027360,아주IB투자,KOSDAQ,3855,10.14,101201972749,×17.6,
2026-09-17,value-surge,357580,아모센스,KOSDAQ,6870,6.68,14772688910,×17.1,
2026-09-17,value-surge,051630,진양화학,KOSPI,1775,29.94,7558939638,×15.7,
2026-09-17,value-surge,321370,센서뷰,KOSDAQ,1685,20.62,56001633448,×15.2,
2026-09-17,value-surge,003780,진양산업,KOSPI,4525,12.14,4785860186,×13.7,
2026-09-17,value-surge,457370,한켐,KOSDAQ,12640,29.91,160380643155,×13.4,
2026-09-17,value-surge,220100,퓨쳐켐,KOSDAQ,6300,-6.67,5495989520,×12.9,
2026-09-17,value-surge,451760,컨텍,KOSDAQ,8150,9.84,3798362080,×12.3,
2026-09-17,value-surge,043260,성호전자,KOSDAQ,21600,16.38,303616514870,×11.6,
2026-09-17,value-surge,420570,제이투케이바이오,KOSDAQ,9990,16.57,5654989935,×11.5,
2026-09-17,value-surge,406820,뷰티스킨,KOSDAQ,2300,-9.45,12159755472,×11.4,
2026-09-17,value-surge,355390,크라우드웍스,KOSDAQ,1498,19.36,4594210763,×10.9,
2026-09-17,value-surge,005160,동국산업,KOSDAQ,3670,5.16,39492287371,×10.7,
2026-09-17,value-surge,285800,진영,KOSDAQ,4905,29.93,4268561544,×10.6,
2026-09-17,value-surge,347700,스피어,KOSDAQ,23850,17.2,127991488250,×10.1,
2026-09-17,value-surge,295310,에이치브이엠,KOSDAQ,60700,13.88,36014235200,×8.7,
2026-09-17,value-surge,211270,AP위성,KOSDAQ,9240,3.94,3262257330,×8.4,
2026-09-17,value-surge,321820,아티스트컴퍼니,KOSDAQ,3920,15.63,3034946052,×8.4,
2026-09-17,value-surge,192650,드림텍,KOSPI,7660,7.74,39024239495,×7.8,
